,vector_size,window_size,numer_of_epochs,accuracy
155,400.0,11.0,15.0,90.8415058525783
156,400.0,13.0,5.0,49.95254666244859
157,400.0,13.0,10.0,86.12780765580513
158,400.0,13.0,15.0,90.01898133502057
159,400.0,15.0,5.0,50.585257829800696
160,400.0,15.0,10.0,84.62511863334387
161,400.0,15.0,15.0,90.14552356849099
162,400.0,17.0,5.0,50.72761784245492
163,400.0,17.0,10.0,84.64093641252768
164,400.0,17.0,15.0,89.43372350521987
165,400.0,19.0,5.0,52.10376463144574
166,400.0,19.0,10.0,84.11894969946219
167,400.0,19.0,15.0,89.05409680480861
168,450.0,5.0,5.0,36.69724770642202
169,450.0,5.0,10.0,90.22461246441
170,450.0,5.0,15.0,92.42328377095856
171,450.0,7.0,5.0,42.50237266687757
172,450.0,7.0,10.0,88.89591901297058
173,450.0,7.0,15.0,91.90129705789307
174,450.0,9.0,5.0,44.85922176526416
175,450.0,9.0,10.0,87.47231888642834
176,450.0,9.0,15.0,91.17367921543816
177,450.0,11.0,5.0,47.07371085099652
178,450.0,11.0,10.0,86.30180322682695
179,450.0,11.0,15.0,90.73078139829168
180,450.0,13.0,5.0,48.57639987345777
181,450.0,13.0,10.0,85.52673204682063
182,450.0,13.0,15.0,90.19297690604239
183,450.0,15.0,5.0,50.284720025308445
184,450.0,15.0,10.0,85.16292312559317
185,450.0,15.0,15.0,89.6077190762417
186,450.0,17.0,5.0,50.42708003796267
187,450.0,17.0,10.0,84.30876304966783
188,450.0,17.0,15.0,89.76589686807972
189,450.0,19.0,5.0,50.96488453021196
190,450.0,19.0,10.0,83.61278076558051
191,450.0,19.0,15.0,88.92755457133818
192,500.0,5.0,5.0,36.048718759886114
193,500.0,5.0,10.0,90.05061689338817
194,500.0,5.0,15.0,92.26510597912053
195,500.0,7.0,5.0,41.20531477380576
196,500.0,7.0,10.0,88.89591901297058
197,500.0,7.0,15.0,91.77475482442266
198,500.0,9.0,5.0,43.41980385953812
199,500.0,9.0,10.0,87.17178108193609
200,500.0,9.0,15.0,91.74311926605505
201,500.0,11.0,5.0,46.09300854160076
202,500.0,11.0,10.0,86.5707054729516
203,500.0,11.0,15.0,90.74659917747549
204,500.0,13.0,5.0,47.67478645998102
205,500.0,13.0,10.0,85.00474533375514
206,500.0,13.0,15.0,90.49351471053464
207,500.0,15.0,5.0,49.88927554571338
208,500.0,15.0,10.0,84.43530528313825
209,500.0,15.0,15.0,89.68680797216071
210,500.0,17.0,5.0,49.90509332489719
211,500.0,17.0,10.0,84.03986080354318
212,500.0,17.0,15.0,89.51281240113887
213,500.0,19.0,5.0,50.71180006327112
214,500.0,19.0,10.0,83.29642518190447
215,500.0,19.0,15.0,88.89591901297058
